Date,Close
02/05/2017 17:00:00,62066.66
04/05/2017 17:00:00,61862.8
05/05/2017 17:00:00,61831.4
08/05/2017 17:00:00,61687.05
09/05/2017 17:00:00,62336.39
10/05/2017 17:00:00,61839.91
11/05/2017 17:00:00,61598.78
12/05/2017 17:00:00,61595.38
15/05/2017 17:00:00,61795.32
16/05/2017 17:00:00,61000.25
17/05/2017 17:00:00,60133.08
18/05/2017 17:00:00,59901.12
19/05/2017 17:00:00,60739.95
22/05/2017 17:00:00,61024.86
23/05/2017 17:00:00,60407.7
24/05/2017 17:00:00,60812.49
25/05/2017 17:00:00,61536.22
26/05/2017 17:00:00,60907.75
29/05/2017 17:00:00,60859.28
30/05/2017 17:00:00,60344.58
31/05/2017 17:00:00,60092.07
01/06/2017 17:00:00,60181.96
02/06/2017 17:00:00,60754.42
05/06/2017 17:00:00,60179.36
06/06/2017 17:00:00,60723.47
07/06/2017 17:00:00,60752.25
08/06/2017 17:00:00,61312.68
09/06/2017 17:00:00,61181.57
12/06/2017 17:00:00,60354.56
13/06/2017 17:00:00,60518.24
14/06/2017 17:00:00,60381.07
16/06/2017 17:00:00,60481.07
19/06/2017 17:00:00,61048.15
20/06/2017 17:00:00,60841.94
21/06/2017 17:00:00,61162.22
22/06/2017 17:00:00,60987.33
23/06/2017 17:00:00,60982.19
26/06/2017 17:00:00,61701.57
27/06/2017 17:00:00,61915.09
28/06/2017 17:00:00,61411.73
29/06/2017 17:00:00,61475.96
30/06/2017 17:00:00,61018.36
03/07/2017 17:00:00,61392.77
04/07/2017 17:00:00,60728.12
05/07/2017 17:00:00,60936.64
06/07/2017 17:00:00,60869.83
07/07/2017 17:00:00,60707.52
10/07/2017 17:00:00,60829.24
11/07/2017 17:00:00,60700.46
12/07/2017 17:00:00,61601.72
13/07/2017 17:00:00,62018.68
14/07/2017 17:00:00,62127.72
17/07/2017 17:00:00,62537.74
18/07/2017 17:00:00,62331.5
19/07/2017 17:00:00,62533.46
20/07/2017 17:00:00,62269.72
21/07/2017 17:00:00,61979.52
24/07/2017 17:00:00,61828.39
25/07/2017 17:00:00,61974.7
26/07/2017 17:00:00,62362.29
27/07/2017 17:00:00,62171.7
28/07/2017 17:00:00,62366.5
31/07/2017 17:00:00,62595.76
01/08/2017 17:00:00,62800.96
02/08/2017 17:00:00,62409.52
03/08/2017 17:00:00,62231.08
04/08/2017 17:00:00,62478.3
07/08/2017 17:00:00,62684.88
08/08/2017 17:00:00,63351.24
09/08/2017 17:00:00,62932.28
10/08/2017 17:00:00,62451.57
11/08/2017 17:00:00,62206.45
14/08/2017 17:00:00,62313.07
16/08/2017 17:00:00,62481.19
17/08/2017 17:00:00,61949.4
18/08/2017 17:00:00,62053.31
21/08/2017 17:00:00,62423.94
22/08/2017 17:00:00,62649.41
23/08/2017 17:00:00,62699.83
24/08/2017 17:00:00,63886.54
25/08/2017 17:00:00,64135.52
28/08/2017 17:00:00,65170.56
29/08/2017 17:00:00,64388.43
30/08/2017 17:00:00,64957.87
31/08/2017 17:00:00,64973.76
01/09/2017 17:00:00,65208.48
04/09/2017 17:00:00,65038.75
05/09/2017 17:00:00,64994.9
06/09/2017 17:00:00,64768.25
07/09/2017 17:00:00,64381.87
08/09/2017 17:00:00,64306.53
11/09/2017 17:00:00,64876.56
12/09/2017 17:00:00,64826.07
13/09/2017 17:00:00,64719.8
14/09/2017 17:00:00,64748.47
15/09/2017 17:00:00,64535.67
18/09/2017 17:00:00,64647.04
19/09/2017 17:00:00,64750.09
20/09/2017 17:00:00,64749.5
21/09/2017 17:00:00,64209.19
22/09/2017 17:00:00,64397.32
25/09/2017 17:00:00,63895.84
26/09/2017 17:00:00,63700.76
27/09/2017 17:00:00,63573.49
28/09/2017 17:00:00,63729.77
29/09/2017 17:00:00,64289.69
02/10/2017 17:00:00,64486.26
03/10/2017 17:00:00,64407.81
04/10/2017 17:00:00,63825.7
05/10/2017 17:00:00,64185.71
06/10/2017 17:00:00,64456.06
09/10/2017 17:00:00,64755.22
10/10/2017 17:00:00,65046.57
11/10/2017 17:00:00,65733.79
12/10/2017 17:00:00,65529.1
13/10/2017 17:00:00,65318.72
16/10/2017 17:00:00,65435.72
17/10/2017 17:00:00,64854.15
18/10/2017 17:00:00,64474.44
19/10/2017 17:00:00,63745
20/10/2017 17:00:00,63719.57
23/10/2017 17:00:00,63714.74
24/10/2017 17:00:00,63016.86
25/10/2017 17:00:00,63158.16
26/10/2017 17:00:00,63342.71
27/10/2017 17:00:00,64054.62
30/10/2017 17:00:00,64640.8
31/10/2017 17:00:00,64866.57
02/11/2017 17:00:00,64375.83
03/11/2017 17:00:00,64214.11
06/11/2017 17:00:00,64565.59
07/11/2017 17:00:00,65134.28
08/11/2017 17:00:00,64617.71
09/11/2017 17:00:00,63923.62
10/11/2017 17:00:00,63415.6
13/11/2017 17:00:00,63160.3
14/11/2017 17:00:00,63256.2
15/11/2017 17:00:00,62345.85
16/11/2017 17:00:00,62299.29
17/11/2017 17:00:00,63047.02
20/11/2017 17:00:00,63621.92
21/11/2017 17:00:00,64010.67
22/11/2017 17:00:00,63993.34
23/11/2017 17:00:00,64207.77
24/11/2017 17:00:00,63857.97
27/11/2017 17:00:00,64177.91
28/11/2017 17:00:00,63961.27
29/11/2017 17:00:00,62962.26
30/11/2017 17:00:00,62440.31
01/12/2017 17:00:00,62031.02
04/12/2017 17:00:00,62350.23
05/12/2017 17:00:00,62507.04
06/12/2017 17:00:00,62165.24
07/12/2017 17:00:00,62164.65
08/12/2017 17:00:00,62430.24
11/12/2017 17:00:00,62000.65
12/12/2017 17:00:00,62532.46
13/12/2017 17:00:00,62547.97
14/12/2017 17:00:00,62916.39
15/12/2017 17:00:00,62619.6
18/12/2017 17:00:00,63538.95
19/12/2017 17:00:00,63406.04
