"Date","Price","Return","VaR_spec2_sged","ES_spec2_sged","mu_spec2_sged","sigma_spec2_sged","skew_spec2_sged","shape_spec2_sged","dist_spec2_sged","Exceeded_VaR_spec2_sged","u_spec2_sged","CumVio_spec2_sged"
2017-07-17,62537.74,0.00657794834980407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-18,62331.5,-0.00330329851510314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-19,62533.46,0.00323485749908059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-20,62269.72,-0.00422650116136047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-21,61979.52,-0.00467126443103183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,61828.39,-0.00244136380404925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-25,61974.7,0.00236359315610457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-26,62362.29,0.00623452852520678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-27,62171.7,-0.00306085348747409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-28,62366.5,0.00312835995493188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-31,62595.76,0.0036692719421243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-01,62800.96,0.0032728157987485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-02,62409.52,-0.00625253214029087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-03,62231.08,-0.00286327443721035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-04,62478.3,0.00396474305046368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-07,62684.88,0.0033009737781029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-08,63351.24,0.0105742101393691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-09,62932.28,-0.00663525275686716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-10,62451.57,-0.00766785124741709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-11,62206.45,-0.0039326842495786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-14,62313.07,0.00171250300445713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-16,62481.19,0.00269435632225878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-17,61949.4,-0.00854762864658021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-18,62053.31,0.00167593150700363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-21,62423.94,0.00595500133998783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-22,62649.41,0.00360540825427158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-23,62699.83,0.000804472411946477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-24,63886.54,0.0187499612564483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-25,64135.52,0.00388964704846551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-28,65170.56,0.0160094886018705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-29,64388.43,-0.0120738746335061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-30,64957.87,0.00880494732225756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-31,64973.76,0.000244590175297432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01,65208.48,0.00360602574278879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-04,65038.75,-0.00260627571237748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-05,64994.9,-0.000674440833771328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-06,64768.25,-0.00349329113058161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-07,64381.87,-0.00598344241183213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-08,64306.53,-0.00117089043934904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-11,64876.56,0.00882520614257487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-12,64826.07,-0.000778550173581749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-13,64719.8,-0.00164065475553521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-14,64748.47,0.000442888446237077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-15,64535.67,-0.00329197676030546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-18,64647.04,0.00172422497703373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-19,64750.09,0.00159277136650182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-20,64749.5,-9.11199795972095e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-21,64209.19,-0.00837963167322009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-22,64397.32,0.00292567046866132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-25,63895.84,-0.00781775979471178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-26,63700.76,-0.00305776410967873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-27,63573.49,-0.00199993388168451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-28,63729.77,0.0024552407928482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-29,64289.69,0.00874747589688241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-02,64486.26,0.00305290161202798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-03,64407.81,-0.00121727880401323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
